Velocity_mps,Angle_degrees,Initial_Height_m,Flight_Time_s,Max_Height_m,Distance_m
19.19,75.91,31.3,5.0566,48.957,23.623
90.09,26.09,4.88,8.1988,84.8874,663.3667
25.91,32.78,5.88,3.231,15.9099,70.384
15.12,7.41,8.42,1.524,8.6138,22.8504
72.4,7.64,18.92,3.1766,23.6422,227.9442
57.39,42.63,18.06,8.3644,95.0592,353.1807
20.8,80.23,48.15,5.8555,69.566,20.6677
94.99,67.29,9.63,17.9738,400.977,659.1443
48.0,65.73,29.31,9.5469,126.901,188.3582
23.57,74.57,35.81,5.8748,62.1208,36.8412
21.07,71.2,22.67,4.9922,42.9472,33.8977
26.06,40.74,18.41,4.3335,33.1528,85.5654
61.26,73.65,15.52,12.2427,191.6362,211.1247
20.54,19.01,38.72,3.5732,41.0015,69.3908
17.8,44.92,47.29,4.6402,55.3419,58.4854
72.78,21.3,27.61,6.2854,63.2337,426.2035
22.96,22.49,35.74,3.7392,39.6715,79.3227
34.88,22.43,47.86,4.7622,56.8875,153.5391
85.98,13.21,39.05,5.463,58.7265,457.2798
41.74,36.11,36.49,6.2125,67.3314,209.493
43.63,15.34,22.53,3.6215,29.3201,152.3768
81.74,39.51,35.54,11.2465,173.38,709.2439
56.93,17.16,20.29,4.3708,34.6696,237.7529
59.31,28.17,26.95,6.5475,66.9081,342.3346
72.32,60.17,2.33,12.8276,202.9443,461.4602
34.39,70.81,5.94,6.7997,59.7061,76.8642
90.01,16.54,39.2,6.4611,72.6665,557.4992
88.31,83.64,34.45,18.2775,427.0574,178.8006
75.42,29.0,48.77,8.6094,116.9123,567.9089
32.79,79.76,1.98,6.6393,55.0486,38.7014
37.88,40.76,17.2,5.6615,48.3748,162.4411
87.98,32.81,28.2,10.2785,144.0337,760.0409
96.17,76.08,23.31,19.2773,467.4194,445.9864
96.97,28.42,5.51,9.5269,114.0686,812.4866
95.73,50.97,40.77,15.6907,322.6302,945.8948
25.29,28.31,14.41,3.3279,21.7416,74.0963
74.15,42.48,46.9,11.0727,174.7083,605.5283
95.06,5.52,19.41,3.1289,23.6717,296.0539
82.73,49.21,1.89,12.7999,201.8504,691.7905
21.62,40.97,22.83,4.0416,33.0718,65.9761
26.54,84.02,4.75,5.5557,40.261,15.3614
37.69,41.1,44.73,6.4624,76.0182,183.5438
22.94,26.01,29.65,3.6894,34.808,76.0628
32.33,59.41,26.14,6.4945,65.6174,106.8504
36.44,55.84,2.02,6.2137,48.361,127.1402
35.2,61.4,38.03,7.3549,86.7109,123.9297
93.31,23.23,9.27,7.7472,78.307,664.2857
37.82,48.67,30.86,6.7254,71.9683,167.9745
74.54,22.61,27.16,6.6724,69.0176,459.1351
84.72,16.73,35.31,6.1437,65.6239,498.4627
74.07,26.65,27.7,7.5239,83.9583,498.09
85.39,48.77,42.01,13.717,252.2094,771.9808
22.71,31.09,18.39,3.471,25.3994,67.5036
82.09,70.32,0.12,15.76,304.6313,435.6879
10.73,10.87,5.83,1.3158,6.0387,13.8652
82.6,32.51,43.3,9.9388,143.7459,692.3009
11.28,48.51,31.56,3.5401,35.1989,26.4547
90.86,69.39,8.89,17.4423,377.5249,557.8601
47.26,40.52,13.33,6.6676,61.3843,239.5407
61.36,25.26,30.44,6.3201,65.3839,350.72
75.74,64.8,9.94,14.1154,249.3172,455.2008
63.65,48.82,20.54,10.1782,137.5109,426.5568
92.93,55.0,24.1,15.83,319.4534,843.7779
43.09,42.64,0.86,5.9801,44.2841,189.5575
24.19,32.44,44.18,4.6025,52.7618,93.9611
83.38,32.35,16.75,9.4571,118.2061,666.1489
42.81,53.58,44.96,8.1481,105.4446,207.0945
45.66,81.13,46.85,10.1395,150.5843,71.3867
66.0,79.34,0.56,13.2321,214.9814,161.547
32.22,34.88,19.38,4.613,36.6834,121.9296
26.84,52.31,40.44,5.7612,63.4323,94.5394
81.3,79.74,7.5,16.4031,333.6976,237.5296
27.16,45.14,45.74,5.5924,64.6307,107.1394
56.13,48.36,3.55,8.6359,93.2353,322.08
93.34,79.22,48.8,19.2116,477.3203,335.3993
29.97,80.7,18.49,6.6009,63.0743,31.9699
52.06,80.26,5.55,10.5677,139.7332,93.0738
51.3,16.95,21.4,4.1105,32.8005,201.7084
38.76,21.21,26.39,4.1541,36.4125,150.106
38.88,45.14,26.48,6.455,65.1916,177.0287
14.7,12.77,17.38,2.2425,17.9181,32.1494
16.88,21.25,44.74,3.7075,46.6477,58.3275
94.86,41.6,19.93,13.149,222.0954,932.7391
55.07,51.15,18.52,9.1561,112.2703,316.293
93.57,14.61,0.21,4.8207,28.602,436.4875
75.84,18.78,4.41,5.1522,34.7933,369.9404
72.58,10.47,5.68,3.0666,14.5463,218.868
26.57,49.09,45.37,5.7129,65.9208,99.4043
59.76,32.92,16.78,7.103,70.5412,356.3174
